ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
19,001,0000,190010000069,1,19-001-0000-03,00007,1,01,19001000006901,01,1,1,39,09,2019,01,0101,019,221,3,12,2019,03,0301,1,01,1
19,001,0000,190010000227,1,19-001-0000-03,00031,2,01,19001000022701,01,1,1,57,08,2019,03,0301,019,221,3,09,2019,03,0301,1,01,1
19,001,0000,190010000227,1,19-001-0000-03,00031,2,01,19001000022702,02,1,3,56,08,2019,03,0301,019,221,3,09,2019,03,0301,1,02,1
19,001,0000,190010000272,1,19-001-0000-03,00037,1,01,19001000027201,01,1,1,32,01,2018,01,0101,019,221,3,01,2019,03,0301,1,01,1
19,001,0000,190010000305,1,19-001-0000-03,00043,1,02,19001000030501,01,1,1,28,06,2018,01,0101,019,221,1,,,,,,,1
19,001,0000,190010000305,1,19-001-0000-03,00043,1,02,19001000030502,03,1,1,13,06,2018,03,0301,019,221,1,,,,,,,1
19,001,0000,190010000305,1,19-001-0000-03,00043,1,02,19001000030503,04,1,1,9,06,2018,99,9999,999,999,9,,,,,,,1
19,001,0000,190010000388,1,19-001-0000-03,00049,1,01,19001000038801,01,1,1,20,02,2017,03,0301,019,221,3,03,2017,09,0909,1,03,1
19,001,0000,190010000412,1,19-001-0000-03,00055,1,01,19001000041201,01,1,3,52,12,2016,02,0102,019,221,9,,,,,,,1
19,001,0000,190010000427,1,19-001-0000-03,00058,1,01,19001000042701,02,1,1,18,01,2018,01,0101,019,221,3,03,2020,03,0301,1,03,1
19,001,0000,190010000427,1,19-001-0000-03,00058,1,01,19001000042702,01,1,1,45,02,2020,01,0101,019,221,3,03,2020,03,0301,1,01,1
19,002,0000,190020000196,1,19-002-0000-03,00057,1,01,19002000019601,01,1,1,31,06,2019,03,0301,019,221,1,,,,,,,1
